# FRECHET
# genspc	taxon	samples	   llmt	 median	   rrmt	entropy	          a1         mu1      theta1      kappa1         mu2      theta2      kappa2          a2         mu3      theta3      kappa3       rRMSE        AIC         BIC
coemreve	 F_Fu	 5852	     16	  154.4	   3957	-2.7873	  1.3370e-01  1.1302e+01  3.8649e+01  9.1729e-01 -1.1009e+02  2.2696e+02  1.2275e+01  2.6271e-01 -7.1900e+01  2.5186e+02  1.9012e+00  5.7448e-04  7.5106e+04  7.5179e+04
colistri	 M_Av	 106749	     29	  916.7	  32841	-3.6363	  9.3313e-02  6.0959e+01  4.0291e+01  1.3115e+00 -2.1070e+02  9.6551e+02  1.4719e+00  3.0866e-05  1.7874e+06  1.7875e+06
collerem	 F_As	 1	   1817	  908.5	      9	-3.5225	  6.4091e-02 -1.4417e+02  3.7335e+02  1.7483e+00 -6.0545e+03  7.1650e+03  1.1129e+01  9.9967e-01  3.0033e+01  1.6033e+01
collfalc	 F_As	 30537	     16	   67.7	    880	-2.0972	  7.1321e-01  3.5728e+01  2.3242e+01  2.2468e+00 -1.2127e+01  9.5506e+01  1.8287e+00  2.9155e-04  2.9489e+05  2.9495e+05
collgram	 F_As	 20777	     19	   63.8	    508	-1.9603	  8.0463e-01  3.7070e+01  2.0414e+01  2.2677e+00 -4.1058e+01  1.2650e+02  2.5832e+00  4.1121e-04  1.8756e+05  1.8761e+05
collhigg	 F_As	 23065	     17	   67.1	    550	-2.0056	  8.4493e-01  3.7912e+01  2.2575e+01  1.9090e+00 -1.1531e+01  8.1492e+01  2.0703e+00  3.2342e-04  2.1303e+05  2.1309e+05
collsome	 F_As	 30020	     16	   66.1	    899	-2.0541	  8.1949e-01  3.6256e+01  2.2160e+01  2.1635e+00 -3.6331e+01  1.5179e+02  1.9993e+00  3.2151e-04  2.8396e+05  2.8402e+05
collsubl	 F_As	 30263	     16	   65.6	    929	-2.0442	  8.2486e-01  3.6876e+01  2.1324e+01  2.1297e+00 -3.4747e+01  1.4984e+02  1.9357e+00  2.3527e-04  2.8488e+05  2.8494e+05
collzoys	 F_As	 31236	     17	   66.2	    811	-2.0646	  7.1606e-01  3.5639e+01  2.2329e+01  2.4048e+00 -1.5397e+01  1.0183e+02  1.9387e+00  2.5958e-04  2.9697e+05  2.9703e+05
coloango	 M_Mm	 196172	     29	 1672.2	 309385	-4.0373	  2.1552e-01  6.4155e+01  7.5858e+01  7.1749e-01 -2.3483e+02  1.7596e+03  9.9993e-01  1.8454e-05  3.6432e+06  3.6433e+06
colulivi	 M_Av	 139150	     29	  946.2	  76209	-3.7272	  9.6812e-02  5.3284e+01  4.2168e+01  1.5950e+00 -1.1835e+02  8.8531e+02  1.1654e+00  2.3071e-05  2.3883e+06  2.3884e+06
condcris	 M_Mm	 169482	     30	 1230.4	 124573	-3.8727	  7.9764e-02  4.5762e+01  4.2173e+01  2.5763e+00 -3.4293e+01  3.6259e+02  1.2972e+00  3.2549e-01 -1.5731e+02  1.8484e+03  1.1417e+00  1.7549e-05  3.0198e+06  3.0199e+06
conicoro	 F_En	 18182	     17	   52.3	   1021	-1.5580	  8.5931e-01 -5.8433e+01  1.0854e+02  3.0000e+01  7.5922e+00  5.3912e+01  1.1313e+00  4.1071e-04  1.3023e+05  1.3028e+05
conilign	 F_As	 28784	     16	   63.9	   1197	-2.0048	  7.5752e-01  2.8215e+01  3.0053e+01  3.7439e+00 -1.2546e+01  9.0784e+01  1.4948e+00  2.0484e-04  2.6567e+05  2.6573e+05
conipute	 F_Ba	 78091	     16	   57.5	    609	-1.7432	  8.5267e-01  2.2020e+01  3.1791e+01  5.5336e+00 -1.5467e+01  9.3554e+01  1.7727e+00  2.0198e-04  6.2683e+05  6.2689e+05
conispec	 F_As	 23495	     17	   65.6	   1035	-1.9961	  7.7954e-01  2.8085e+01  3.1082e+01  3.6630e+00 -1.1664e+01  1.0467e+02  1.6395e+00  2.7416e-04  2.1597e+05  2.1603e+05
conithro	 F_En	 27154	     19	   53.0	    386	-1.6490	  8.9219e-01  2.6140e+01  2.3637e+01  4.1965e+00 -5.4903e+01  1.1553e+02  3.7877e+00  1.0201e-01  5.8869e+01  4.0783e+02  1.4983e+00  3.1522e-04  2.0617e+05  2.0626e+05
copiflor	 M_In	 58358	     16	   97.3	 189052	-2.8595	  5.2110e-01 -2.3256e+02  3.0758e+02  3.0000e+01  2.3720e+01  2.8241e+02  7.0037e-01  9.7533e-05  7.6846e+05  7.6852e+05
coprcine	 F_Ba	 61864	     21	   56.7	    519	-1.7100	  8.2278e-01  7.6546e+00  4.5825e+01  9.7416e+00 -3.9603e+01  1.2213e+02  2.3384e+00  4.3223e-04  4.8715e+05  4.8721e+05
cordmili	 F_As	 18852	     16	   63.9	    967	-2.1507	  5.8658e-01  2.7917e+01  2.7781e+01  3.4129e+00 -1.7705e+02  2.3762e+02  8.0936e+00  3.0343e-01 -9.0022e+01  3.7765e+02  2.9811e+00  4.3033e-04  1.8667e+05  1.8676e+05
cortglau	 F_Ba	 96044	     16	   57.0	    826	-1.6854	  8.6327e-01 -3.0191e+01  8.4173e+01  1.5948e+01 -3.1885e-01  6.6102e+01  1.3028e+00  2.4772e-04  7.4538e+05  7.4545e+05
corvbrac	 M_Av	 133296	     30	  888.5	  71235	-3.6978	  9.0254e-02  5.3891e+01  3.8638e+01  1.7926e+00 -1.0944e+02  8.2321e+02  1.1656e+00  2.3891e-05  2.2699e+06  2.2699e+06
corvcorn	 M_Av	 151315	     17	  959.6	 109430	-3.7636	  8.6371e-02  5.5441e+01  3.9832e+01  1.6759e+00 -6.5556e+01  8.3108e+02  1.0665e+00  2.0588e-05  2.6224e+06  2.6225e+06
corycass	 F_As	 31892	     16	   55.6	    657	-1.8836	  7.1728e-01  3.3005e+01  1.8049e+01  3.6167e+00 -2.9835e+01  1.0570e+02  2.1513e+00  4.0717e-04  2.7657e+05  2.7663e+05
cotevest	 M_In	 37406	     16	  150.6	  21272	-2.9530	  4.5367e-01 -7.9853e-01  7.5359e+01  5.6472e+00 -6.3422e+01  4.2439e+02  1.1970e+00  1.2105e-04  5.0848e+05  5.0854e+05
cotujapo	 M_Av	 194026	     23	  829.0	 131927	-3.7232	  1.3810e-01  5.3690e+01  3.9203e+01  1.4439e+00 -3.6720e+01  7.5817e+02  9.9761e-01  1.7581e-05  3.3255e+06  3.3256e+06
crasgiga	 M_Mo	 375440	     16	  389.1	  30763	-3.3250	  2.7506e-01  6.8379e+01  6.1581e+01  9.9819e-01 -3.2297e+01  4.3588e+02  1.1959e+00  3.3101e-05  5.7446e+06  5.7446e+06
cricgris	 M_Mm	 171869	     27	 1361.8	 105603	-3.8766	  1.0541e-01  5.6023e+01  3.6743e+01  1.7570e+00 -4.5364e+02  7.0472e+02  5.0959e+00  1.4440e-01 -1.9895e+02  1.6716e+03  1.2073e+00  1.8581e-05  3.0689e+06  3.0690e+06
critfasc	 O_Eu	 1	  10870	 5435.0	     54	-4.2751	  2.7989e-02  6.7668e+01  4.2100e+01  9.1223e-01 -7.2767e+02  1.8206e+03  2.2277e+00  5.1007e-02 -3.1308e+03  7.3704e+03  2.3633e+00  9.9997e-01  4.2998e+01  2.0998e+01
cronquer	 F_Ba	 54963	     16	   86.9	    961	-2.0860	  9.0126e-01  8.7241e+00  7.0053e+01  4.3602e+00 -2.2301e+01  1.3024e+02  1.4641e+00  1.4558e-04  5.2800e+05  5.2807e+05
cryphomi	 O_Al	 1	     44	   22.0	      0	-0.0682	  1.0000e+00  3.6761e+01  7.1127e+00  3.0000e+01  3.5544e-01  5.3917e+00 -6.0825e-01
crypmuri	 O_Al	 1428	     21	   73.3	    588	-2.0771	  7.4126e-01  2.9625e+01  3.4913e+01  3.0239e+00 -4.2461e+01  1.3137e+02  2.5320e+00  1.7679e-03  1.3672e+04  1.3709e+04
crypneof	 F_Ba	 34649	     19	   56.2	    432	-1.7491	  7.6483e-01  1.3161e+01  3.9311e+01  7.4578e+00  8.3437e-01  6.4346e+01  2.0189e+00  3.8192e-04  2.7916e+05  2.7922e+05
cryppara	 O_Ch	 2	     62	  100.0	      1	-1.8792	  1.0000e+00  4.0573e+00  6.5850e+01  4.7541e+00  4.8457e-01  2.3381e+01  1.9460e+01
crypparf	 F_As	 22429	     16	   85.3	    928	-2.2731	  7.8900e-02 -2.9100e+02  3.3150e+02  3.0000e+01  3.2696e+01  4.4748e+01  1.7403e+00  4.5471e-04  2.3480e+05  2.3486e+05
crypparv	 O_Al	 265	     30	   63.8	   6514	-2.3984	  1.0000e+00  2.5807e+01  2.7675e+01  9.7041e-01  7.7685e-03  2.9268e+03  2.9376e+03
crypvish	 F_Ba	 37615	     19	   62.0	    508	-1.6777	  9.0931e-01 -1.1069e+02  1.6935e+02  2.6507e+01 -2.1267e+01  1.0552e+02  1.7791e+00  4.2603e-04  2.9042e+05  2.9048e+05
cucuberb	 F_As	 23936	     16	   55.6	    666	-1.8537	  7.3330e-01  3.3548e+01  1.7565e+01  3.6790e+00 -1.9116e+01  1.0149e+02  2.0770e+00  4.1466e-04  2.0433e+05  2.0439e+05
cucucano	 M_Av	 136426	     30	  961.8	  74541	-3.7284	  9.7207e-02  5.8646e+01  3.6775e+01  1.3863e+00  5.8202e+00  1.7283e+02  1.0037e+00  2.8856e-02 -9.8898e+01  9.0960e+02  1.1740e+00  2.3460e-05  2.3431e+06  2.3432e+06
cucumelo	 P_Eu	 110558	     18	  221.4	  14145	-3.0121	  3.7885e-01  1.7978e+01  7.3379e+01  4.4262e+00 -2.1231e+01  3.3310e+02  1.2436e+00  5.3259e-01 -4.0010e+02  1.0780e+03  4.4333e+00  4.6716e-05  1.5313e+06  1.5314e+06
cucusati	 P_Eu	 93576	     29	  193.7	   5666	-2.9274	  3.6661e-01  3.6062e+01  5.4677e+01  3.4647e+00 -7.1794e+01  3.0028e+02  1.5573e+00  4.7799e-01 -5.1546e+02  1.1486e+03  3.9814e+00  6.1143e-05  1.2614e+06  1.2615e+06
culequin	 M_In	 100107	     16	  102.5	  54475	-2.9923	  3.9891e-01 -8.4411e+01  1.4368e+02  2.9535e+01 -1.1482e+01  1.4273e+02  1.0730e+00  3.5534e-01 -1.7707e+02  2.3122e+03  1.2692e+00  6.5096e-05  1.3809e+06  1.3810e+06
cyanmero	 P_Ba	 27	     70	  235.5	   1610	-2.7037	  1.0000e+00 -6.3715e+01  2.1605e+02  2.5868e+00  3.8705e-02  3.4172e+02  3.4561e+02
cybejadi	 F_As	 2090	     16	   67.8	   3360	-2.3458	  2.4724e-01  1.6729e+01  1.7268e+01  7.4646e-01 -1.8356e+02  2.4379e+02  2.9049e+01  4.8593e-01 -1.3147e+02  2.6694e+02  2.8110e+00  1.6080e-03  2.2596e+04  2.2658e+04
cyligold	 M_Ne	 41333	     16	   59.0	   1395	-2.1923	  5.4494e-01  1.7390e+01  3.3679e+01  6.9969e+00 -2.6895e+02  3.3712e+02  1.0322e+01  2.5319e-01 -1.0840e+02  3.4779e+02  2.5175e+00  4.1109e-04  4.1695e+05  4.1705e+05
cylitorr	 F_Ba	 63418	     17	   51.4	    277	-1.4064	  9.1504e-01 -4.8029e+01  9.7331e+01  2.8750e+01 -2.9468e+01  9.8491e+01  2.4694e+00  7.1131e-04  4.1071e+05  4.1078e+05
cynosemi	 M_Fs	 209341	     16	  273.5	  28448	-3.1588	  2.8982e-01  2.1312e+00  8.5428e+01  6.8336e+00  3.5433e+01  1.6419e+02  1.1305e+00  3.1587e-01 -1.1436e+02  7.1031e+02  1.2366e+00  2.7485e-05  3.0449e+06  3.0450e+06
cyprvari	 M_Fs	 221553	     28	  486.0	  49814	-3.4199	  2.6902e-01 -1.1562e+02  1.9841e+02  1.8809e+01 -2.2534e+01  1.7457e+02  2.5707e+00  1.9464e-01 -3.8959e+02  1.6852e+03  1.3761e+00  2.4710e-05  3.4964e+06  3.4965e+06
cytafeli	 O_Al	 16723	     19	   44.2	    732	-2.0969	  5.7092e-01 -4.4224e+00  4.2222e+01  1.1676e+01 -2.7780e+01  9.7044e+01  2.1868e+00  2.8353e-01 -2.1143e+03  2.4620e+03  3.0000e+01  6.8540e-04  1.6152e+05  1.6160e+05
dacrspec	 F_Ba	 45270	     16	   52.0	    504	-1.5176	  8.8346e-01  1.2665e+01  3.7050e+01  1.0098e+01 -5.2936e+00  7.5372e+01  1.6359e+00  5.3899e-04  3.1613e+05  3.1619e+05
daedquer	 F_Ba	 72707	     16	   56.7	    504	-1.6258	  8.9880e-01  1.5992e+01  3.7683e+01  7.4572e+00 -2.2650e+01  1.0660e+02  1.8668e+00  3.3123e-04  5.4409e+05  5.4415e+05
daldesch	 F_As	 48861	     19	   72.5	   1828	-2.2719	  6.7211e-01  3.5410e+01  2.3995e+01  2.2001e+00 -3.0848e+01  1.5427e+02  1.6819e+00  1.4626e-04  5.1113e+05  5.1119e+05
danaplex	 M_In	 76123	     17	  279.0	  13810	-3.0916	  1.7353e-01  4.0037e+01  3.4649e+01  4.2259e+00 -3.0562e+01  2.9211e+02  1.3231e+00  5.9008e-05  1.0845e+06  1.0846e+06
danireri	 M_Fs	 246579	     16	 1111.5	  70772	-3.6539	  1.7552e-01 -1.1460e+02  1.9956e+02  1.8999e+01 -2.7156e+01  1.7192e+02  2.8868e+00  1.4710e-01 -3.7613e+02  1.7010e+03  1.3138e+00  2.5206e-05  4.1572e+06  4.1573e+06
daphpule	 M_Ar	 107621	     16	   75.8	   8523	-2.3725	  6.2018e-01  2.6216e+01  3.9431e+01  4.8905e+00 -1.2209e+01  1.5927e+02  1.0860e+00  9.1247e-05  1.1748e+06  1.1749e+06
dasynove	 M_Mm	 178376	     20	 1475.2	 340483	-4.0073	  1.8739e-01  6.2993e+01  6.5409e+01  7.8003e-01 -1.4477e+02  1.4436e+03  9.4009e-01  1.8198e-05  3.2870e+06  3.2871e+06
dauccaro	 P_Eu	 126736	     24	  194.8	   4445	-2.9221	  3.9016e-01  2.0359e+01  6.8052e+01  4.5741e+00 -7.5263e+01  2.9124e+02  2.0342e+00  3.6547e-01 -4.6303e+02  1.1894e+03  2.9665e+00  5.8400e-05  1.7052e+06  1.7053e+06
debahans	 F_As	 401	     40	   73.2	   1078	-2.2595	  6.9068e-01  4.2221e+01  1.6423e+01  1.5249e+00 -9.6503e+01  2.3742e+02  2.7549e+00  3.6471e-03  4.1763e+03  4.2042e+03
dekkbrux	 F_As	 1958	     16	  102.9	   8825	-2.7367	  8.9578e-01 -1.7255e+00  8.7695e+01  1.1244e+00 -1.6376e+01  8.6122e+01  1.0191e+01  2.1444e-03  2.4645e+04  2.4684e+04
deliconf	 F_As	 24286	     17	   58.2	    651	-1.9441	  6.8023e-01  3.2476e+01  1.9716e+01  3.7221e+00 -2.5570e+01  1.1295e+02  2.3195e+00  3.2787e-04  2.1739e+05  2.1744e+05
dendbisp	 F_Ba	 140679	     16	   59.9	   1096	-1.9152	  7.9496e-01  3.4216e+01  2.1257e+01  3.0257e+00 -2.6512e+00  7.1926e+01  1.3583e+00  1.4853e-04  1.2404e+06  1.2405e+06
dendpond	 M_In	 101883	     16	   68.0	  24202	-2.6342	  4.9557e-01 -7.8331e+01  1.3272e+02  3.0000e+01 -6.3045e+00  1.8304e+02  9.6051e-01  4.3059e-01  6.2256e+02  1.5334e+03  1.5468e+00  1.4226e-04  1.2379e+06  1.2380e+06
diacallo	 M_In	 59330	     20	  607.4	  77362	-3.5018	  2.5627e-01  6.3801e-01  7.7365e+01  4.4669e+00 -8.7602e+01  7.3479e+02  1.0732e+00  5.8997e-05  9.5675e+05  9.5681e+05
diapcitr	 M_In	 70562	     16	  557.9	  78940	-3.5164	  7.3963e-01 -6.8997e+01  5.3126e+02  9.9825e-01 -7.3753e+02  1.1372e+03  8.2351e+00  4.7101e-05  1.1418e+06  1.1419e+06
dichsqua	 F_Ba	 71800	     16	   59.9	   1040	-1.8104	  8.4293e-01  2.1827e+01  3.3994e+01  5.5663e+00 -1.8140e+01  1.1123e+02  1.6925e+00  1.5522e-01  3.1407e+02  2.2886e+03  6.1883e-01  2.3405e-04  5.9842e+05  5.9852e+05
dictdisc	 O_Am	 15508	     17	  105.5	   1960	-2.3700	  6.9289e-01  2.5538e+01  6.7537e+01  3.3089e+00 -1.8862e+01  1.2457e+02  1.4868e+00  3.0711e-01  6.1158e+02  1.9930e+03  1.9888e+01  3.3550e-04  1.6917e+05  1.6926e+05
dictfasc	 O_Am	 31406	     19	   85.5	   2309	-2.3391	  5.7981e-01 -2.5870e+02  3.3362e+02  2.9990e+01 -3.7249e+01  1.4415e+02  1.5863e+00  2.0211e-04  3.3803e+05  3.3809e+05
dictpurp	 O_Am	 17957	     17	   78.0	   2518	-2.1665	  6.6655e-01 -1.6999e+02  2.4095e+02  3.0000e+01 -1.1963e+01  1.2147e+02  1.3808e+00  2.8880e-04  1.7904e+05  1.7910e+05
dictvivi	 M_Ne	 119665	     37	  172.7	   9354	-2.9438	  5.8311e-01  4.2117e+01  3.1350e+01  1.0473e+00 -1.5834e+02  5.6532e+02  1.6915e+00  8.5078e-05  1.6201e+06  1.6202e+06
didyexig	 F_As	 20707	     18	   53.4	    934	-1.8424	  6.8254e-01  3.0616e+01  1.8940e+01  5.4222e+00 -4.7875e+00  8.4356e+01  1.7197e+00  5.5945e-04  1.7569e+05  1.7575e+05
dinoquad	 M_In	 77484	     20	  273.6	 107099	-3.2634	  2.7198e-01 -3.6507e+01  1.1769e+02  7.3892e+00  1.5125e+01  3.0863e+02  8.5096e-01  4.7735e-05  1.1650e+06  1.1650e+06
dioscryo	 F_Ba	 58221	     16	   47.7	   1570	-1.8102	  4.9807e-01 -2.2098e+00  4.2567e+01  2.5737e+00  1.5085e+01  3.0842e+01  9.4236e+00  4.8953e-01  1.7254e+02  2.5976e+02  4.0024e-01  1.6540e-03  4.8465e+05  4.8475e+05
diphlatu	 M_Pl	 31594	     16	  498.0	   7965	-3.2995	  1.5931e-01 -5.0366e+01  8.5384e+01  2.1215e+01 -2.4650e+01  1.4904e+02  1.6847e+00  3.5251e-01 -2.4155e+03  3.6629e+03  4.4798e+00  1.6437e-04  4.8061e+05  4.8070e+05
dipoordi	 M_Mm	 175843	     17	 1358.9	 114533	-3.8863	  1.1163e-01  5.5558e+01  3.9336e+01  1.6866e+00 -4.5234e+02  7.0611e+02  4.8819e+00  1.3555e-01 -1.9893e+02  1.6714e+03  1.1850e+00  1.7965e-05  3.1469e+06  3.1470e+06
diroimmi	 M_Ne	 84919	     16	  235.0	   4968	-2.8431	  5.6146e-01  3.1324e+01  1.1227e+02  1.2466e+00 -3.0909e+03  3.3284e+03  3.0000e+01  7.7800e-05  1.1114e+06  1.1115e+06
dissacic	 F_As	 14516	     16	   65.5	    927	-2.0791	  7.2596e-01  3.9327e+01  1.9174e+01  2.1155e+00 -2.6253e+01  1.0825e+02  1.8565e+00  5.1559e-04  1.3897e+05  1.3902e+05
diurnoxi	 M_In	 57271	     17	  123.9	  53685	-3.0048	  5.4443e-01  4.0080e+01  2.9025e+01  2.1768e+00 -4.9148e+01  5.6046e+02  1.0673e+00  3.9480e-01 -7.0253e+01  2.3890e+03  1.0940e+00  5.8989e-05  7.9197e+05  7.9207e+05
dothsept	 F_As	 18703	     16	   58.1	   1055	-1.9740	  6.3032e-01  2.2339e+01  3.0329e+01  6.5234e+00 -9.2420e+01  1.7160e+02  3.8538e+00  3.4544e-01 -2.6304e+02  6.2679e+02  2.0425e+00  3.2935e-04  1.7005e+05  1.7013e+05
dothsymp	 F_As	 23504	     17	   55.4	    616	-1.8368	  7.2456e-01  3.2108e+01  1.8888e+01  4.2497e+00 -2.1290e+01  1.0410e+02  2.2083e+00  5.0495e-04  1.9878e+05  1.9884e+05
dracmedi	 M_Ne	 45288	     16	  208.2	   3004	-2.8828	  2.9899e-01  2.9383e+01  6.9788e+01  1.7547e+00 -1.5631e+02  3.7030e+02  2.3441e+00  1.2162e-04  6.0146e+05  6.0152e+05
drosanan	 M_In	 99207	     16	   68.5	  54796	-2.6394	  5.5519e-01 -9.3375e+01  1.5146e+02  2.9998e+01  4.1926e+00  1.9752e+02  9.4239e-01  3.3314e-01  1.4996e+02  1.9949e+03  1.0553e+00  1.0178e-04  1.2032e+06  1.2033e+06
droserec	 M_In	 94215	     16	   74.6	  33081	-2.6934	  5.2242e-01 -1.5464e+01  7.4292e+01  1.3049e+01  7.2825e+00  2.0569e+02  9.4705e-01  3.9769e-01 -1.3049e+03  4.0002e+03  1.7639e+00  1.1849e-04  1.1673e+06  1.1674e+06
drosgrim	 M_In	 85931	     16	   79.9	  34454	-2.6992	  5.5243e-01  1.9360e+01  4.3096e+01  5.7523e+00 -1.8947e+01  3.0919e+02  9.6299e-01  4.2703e-01  6.1717e+02  2.1724e+03  1.3762e+00  1.2369e-04  1.0668e+06  1.0669e+06
drosmela	 M_In	 117705	     30	  100.3	  66675	-2.9192	  4.4416e-01 -1.1263e+02  1.7174e+02  3.0000e+01  2.5872e+01  1.5861e+02  8.6411e-01  3.7281e-01 -4.0484e+02  2.2307e+03  1.2065e+00  7.7615e-05  1.5795e+06  1.5796e+06
drosmira	 M_In	 23664	     17	   69.6	  33376	-2.4643	  6.8594e-01 -1.1505e+01  7.2812e+01  1.0705e+01 -1.2348e+01  3.1463e+02  9.8516e-01  2.4368e-01 -2.8649e+02  3.1024e+03  1.3836e+00  1.5737e-04  2.6794e+05  2.6803e+05
drosmoja	 M_In	 95526	     16	   76.5	  53513	-2.7491	  5.5325e-01  2.3219e+01  3.7928e+01  5.6349e+00 -2.9734e+01  1.5845e+02  1.8561e+00  1.5435e-01 -1.1762e+02  1.0817e+03  1.0403e+00  8.9175e-05  1.2060e+06  1.2061e+06
drospers	 M_In	 79700	     16	   70.6	  29939	-2.5359	  6.1742e-01 -2.6051e+01  8.7215e+01  1.3032e+01 -8.5496e+00  2.1101e+02  8.9342e-01  3.1181e-01 -1.2119e+03  3.4682e+03  1.8178e+00  1.1536e-04  9.2924e+05  9.2934e+05
drospseu	 M_In	 98282	     16	   72.0	  58934	-2.6306	  6.1960e-01  4.3919e+00  5.6848e+01  8.0394e+00 -1.1065e+01  3.2177e+02  8.7065e-01  3.2233e-01  8.5241e+02  2.0602e+03  1.0780e+00  1.0400e-04  1.1852e+06  1.1853e+06
drossech	 M_In	 87774	     16	   71.2	  27917	-2.5958	  5.3440e-01 -2.2816e+01  8.1678e+01  1.4810e+01 -5.0399e+00  2.0710e+02  9.7055e-01  4.2839e-01  7.6583e+02  2.1144e+03  1.2936e+00  1.4095e-04  1.0477e+06  1.0478e+06
drossimu	 M_In	 84614	     16	   70.8	  29383	-2.6023	  5.3916e-01 -2.8142e+01  8.7003e+01  1.5838e+01 -6.8471e+00  2.1197e+02  9.6974e-01  4.1469e-01  6.5702e+02  1.9554e+03  1.2585e+00  1.3924e-04  1.0124e+06  1.0125e+06
drosviri	 M_In	 98524	     17	   75.2	  70265	-2.7519	  5.3103e-01 -8.9641e+00  6.9113e+01  1.1421e+01 -4.1185e+01  1.4021e+02  2.7156e+00  1.1647e-01 -5.7960e+01  7.5933e+02  9.3819e-01  8.1401e-05  1.2477e+06  1.2478e+06
droswill	 M_In	 90625	     16	   71.9	  34495	-2.5989	  6.0588e-01 -1.0510e+01  7.2366e+01  1.1077e+01 -6.8289e-01  2.1745e+02  9.1541e-01  2.9308e-01 -1.0324e+03  3.4513e+03  1.6411e+00  1.2473e-04  1.0811e+06  1.0812e+06
drosyaku	 M_In	 97670	     19	   75.2	  43634	-2.7129	  5.1255e-01 -1.0633e+02  1.6526e+02  2.9198e+01  7.8834e+00  1.8238e+02  9.9559e-01  3.7496e-01 -4.2871e+01  2.0916e+03  1.1467e+00  8.8296e-05  1.2181e+06  1.2182e+06
dufonova	 M_In	 50932	     30	  116.1	  58908	-2.8882	  4.6488e-01 -2.4238e+02  3.1743e+02  3.0000e+01  9.6250e+00  2.8196e+02  8.7393e-01  1.0801e-04  6.7702e+05  6.7708e+05
dunasali	 P_Ch	 106311	     16	  931.1	  10335	-3.5748	  4.4829e-01 -9.4116e+01  3.6088e+02  1.6942e+00 -2.1055e+03  3.4200e+03  3.9158e+00  4.9588e-05  1.7507e+06  1.7508e+06
echicana	 M_Pl	 54468	     16	  265.4	  19076	-3.1263	  1.3954e-01  8.0093e+00  2.6779e+01  5.3824e+00 -1.2362e+02  1.9665e+02  2.8779e+01  1.6157e-01 -1.0154e+02  4.4693e+02  1.3132e+00  8.6140e-05  7.8365e+05  7.8374e+05
echicapr	 M_Pl	 20223	     16	  782.5	  15719	-3.4750	  1.4474e-01  5.3308e+00  3.3651e+01  6.1006e+00 -8.8563e+00  1.2465e+02  1.0402e+00  3.1122e-01 -2.1639e+03  3.6465e+03  3.2738e+00  1.4316e-04  3.2412e+05  3.2421e+05
echigran	 M_Pl	 57300	     16	  249.5	  18943	-3.1029	  1.3989e-01  1.1987e+01  2.3195e+01  4.4567e+00 -1.2394e+02  1.9701e+02  2.9183e+01  1.7588e-01 -7.9864e+01  4.1995e+02  1.2890e+00  8.6746e-05  8.1747e+05  8.1757e+05
echimult	 M_Pl	 60158	     17	  242.9	  18430	-3.0901	  1.4429e-01  1.5273e+01  1.9826e+01  3.7735e+00 -1.3201e+02  2.0495e+02  3.0000e+01  1.7838e-01 -7.2519e+01  4.0962e+02  1.2873e+00  8.8693e-05  8.5453e+05  8.5463e+05
echitelf	 M_Mm	 155701	     30	 1407.2	 197076	-3.9371	  1.0751e-01  6.0732e+01  3.2631e+01  1.5732e+00 -4.6169e+01  3.4644e+02  1.3709e+00  2.2414e-01 -1.5980e+02  1.8572e+03  1.0501e+00  1.7988e-05  2.8212e+06  2.8213e+06
egregarz	 M_Av	 130138	     30	 1036.0	  78223	-3.7636	  7.4825e-02  5.7743e+01  4.0645e+01  1.5721e+00 -1.3838e+02  9.4894e+02  1.1822e+00  2.3097e-05  2.2554e+06  2.2555e+06
eimeacer	 O_Al	 26489	     22	  259.6	   1824	-2.8488	  1.0000e+00 -1.8742e+02  4.0344e+02  3.2961e+00  2.2283e-04  3.4752e+05  3.4755e+05
eimebrun	 O_Al	 23774	     19	  245.3	   3209	-2.9021	  1.4095e-01  6.0603e+01  8.0060e+01  1.5640e+00 -8.2135e+01  2.9993e+02  2.1868e+00  2.1770e-04  3.1773e+05  3.1779e+05
eimemaxi	 O_Al	 25102	     19	  218.0	   1342	-2.7165	  3.4024e-01  1.5864e+01  1.4519e+02  2.4504e+00 -2.2824e+02  4.2434e+02  4.0029e+00  2.8255e-04  3.1400e+05  3.1406e+05
eimemiti	 O_Al	 18315	     21	  242.6	   2882	-2.8896	  1.0647e-02 -9.8253e+00  6.3339e+01  1.4847e+01 -1.0940e+02  2.1831e+02  1.3200e+01  5.6631e-02 -7.7981e+01  2.8853e+02  2.2448e+00  2.2359e-04  2.4380e+05  2.4389e+05
eimeneca	 O_Al	 26103	     16	  228.6	   2304	-2.7963	  5.5927e-01 -2.0687e+02  4.0683e+02  3.5801e+00  3.4881e+01  1.3784e+02  1.6619e+00  2.5235e-04  3.3608e+05  3.3613e+05
eimeprae	 O_Al	 18567	     28	  232.9	   2645	-2.8530	  8.5342e-03 -9.6270e+00  6.3530e+01  1.5004e+01 -1.0419e+02  2.2367e+02  9.6467e+00  1.1733e-01 -7.6294e+01  2.8870e+02  2.3004e+00  2.0700e-04  2.4404e+05  2.4412e+05
eimetene	 O_Al	 274	     19	  418.0	  10154	-3.2761	  2.8408e-01  1.7621e+01  5.5207e+01  1.0102e+00 -3.3067e+02  7.7582e+02  2.0386e+00  3.7919e-03  4.1510e+03  4.1763e+03
